Order ID,Restaurant Name,Location,Order Time,Delivery Time,Delivery Duration (min),Pizza Size,Pizza Type,Distance (km),Traffic Level,Payment Method,Is Peak Hour,Is Weekend,Order Month,Payment Category,Estimated Duration (min),Delay (min),Is Delayed,Traffic Impact,Order Hour,Restaurant Avg Time,Location_Order_Volume,Sales ($),Order_Hour,Order_Day,Order_Month,Order_Date,Distance Bucket
ORD001,Domino's,"New York, Ny",2024-01-05 18:30:00,2024-01-05 18:45:00,15,Medium,Veg,2.5,Medium,Card,True,False,January,Online,6.0,9.0,False,2,18,30.25943396226415,21,11,18,Friday,January,2024-01-05,2–5 km
ORD002,Papa John's,"Los Angeles, Ca",2024-02-14 20:00:00,2024-02-14 20:25:00,25,Large,Non-Veg,5.0,High,Wallet,True,False,February,Online,12.0,13.0,False,3,20,28.18627450980392,42,14,20,Wednesday,February,2024-02-14,2–5 km
ORD003,Little Caesars,"Chicago, Il",2024-03-21 12:15:00,2024-03-21 12:35:00,20,Small,Vegan,3.0,Low,UPI,False,False,March,Online,7.199999999999999,12.8,False,1,12,28.84422110552764,45,10,12,Thursday,March,2024-03-21,2–5 km
ORD004,Pizza Hut,"Miami, Fl",2024-04-10 19:45:00,2024-04-10 20:10:00,25,XL,Cheese Burst,4.5,Medium,Cash,True,False,April,Offline,10.8,14.2,False,2,19,29.94845360824742,49,17,19,Wednesday,April,2024-04-10,2–5 km
ORD005,Marco's Pizza,"Dallas, Tx",2024-05-05 13:00:00,2024-05-05 13:20:00,20,Medium,Non-Veg,2.0,High,Card,False,True,May,Online,4.8,15.2,False,3,13,30.28645833333333,50,12,13,Sunday,May,2024-05-05,0–2 km
ORD006,Domino's,"New York, Ny",2024-01-06 19:00:00,2024-01-06 19:20:00,20,Medium,Non-Veg,3.0,High,Card,True,True,January,Online,7.199999999999999,12.8,False,3,19,30.25943396226415,21,12,19,Saturday,January,2024-01-06,2–5 km
ORD007,Papa John's,"Los Angeles, Ca",2024-01-07 20:15:00,2024-01-07 20:40:00,25,Large,Veg,4.5,Medium,UPI,True,True,January,Online,10.8,14.2,False,2,20,28.18627450980392,42,13,20,Sunday,January,2024-01-07,2–5 km
ORD008,Little Caesars,"Chicago, Il",2024-01-08 18:30:00,2024-01-08 18:50:00,20,Small,Vegan,2.0,Low,Cash,True,False,January,Offline,4.8,15.2,False,1,18,28.84422110552764,45,10,18,Monday,January,2024-01-08,0–2 km
ORD009,Pizza Hut,"Miami, Fl",2024-01-09 19:45:00,2024-01-09 20:10:00,25,XL,Cheese Burst,5.0,High,Wallet,True,False,January,Online,12.0,13.0,False,3,19,29.94845360824742,49,17,19,Tuesday,January,2024-01-09,2–5 km
ORD010,Marco's Pizza,"Dallas, Tx",2024-01-10 13:00:00,2024-01-10 13:20:00,20,Medium,Non-Veg,3.5,Medium,Card,False,False,January,Online,8.4,11.6,False,2,13,30.28645833333333,50,12,13,Wednesday,January,2024-01-10,2–5 km
ORD011,Domino's,"San Francisco, Ca",2024-01-11 17:30:00,2024-01-11 17:50:00,20,Large,Veg,4.0,Low,UPI,False,False,January,Online,9.6,10.4,False,1,17,30.25943396226415,13,13,17,Thursday,January,2024-01-11,2–5 km
ORD012,Papa John's,"Houston, Tx",2024-01-12 19:00:00,2024-01-12 19:25:00,25,Medium,Non-Veg,3.0,Medium,Cash,True,False,January,Offline,7.199999999999999,17.8,False,2,19,28.18627450980392,27,12,19,Friday,January,2024-01-12,2–5 km
ORD013,Little Caesars,"Phoenix, Az",2024-01-13 18:15:00,2024-01-13 18:35:00,20,Small,Vegan,2.5,High,Wallet,True,True,January,Online,6.0,14.0,False,3,18,28.84422110552764,35,10,18,Saturday,January,2024-01-13,2–5 km
ORD014,Pizza Hut,"Atlanta, Ga",2024-01-14 20:30:00,2024-01-14 20:55:00,25,XL,Cheese Burst,4.0,Low,Card,True,True,January,Online,9.6,15.4,False,1,20,29.94845360824742,78,17,20,Sunday,January,2024-01-14,2–5 km
ORD015,Marco's Pizza,"Seattle, Wa",2024-01-15 14:00:00,2024-01-15 14:20:00,20,Medium,Non-Veg,3.0,Medium,UPI,False,False,January,Online,7.199999999999999,12.8,False,2,14,30.28645833333333,37,12,14,Monday,January,2024-01-15,2–5 km
ORD016,Domino's,"Denver, Co",2024-01-16 19:45:00,2024-01-16 20:10:00,25,Large,Veg,4.5,High,Cash,True,False,January,Offline,10.8,14.2,False,3,19,30.25943396226415,46,13,19,Tuesday,January,2024-01-16,2–5 km
ORD017,Papa John's,"Boston, Ma",2024-01-17 18:30:00,2024-01-17 18:55:00,25,Small,Vegan,2.0,Low,Wallet,True,False,January,Online,4.8,20.2,False,1,18,28.18627450980392,51,10,18,Wednesday,January,2024-01-17,0–2 km
ORD018,Little Caesars,"Dallas, Tx",2024-01-18 20:00:00,2024-01-18 20:20:00,20,Medium,Non-Veg,3.5,Medium,Card,True,False,January,Online,8.4,11.6,False,2,20,28.84422110552764,50,12,20,Thursday,January,2024-01-18,2–5 km
ORD019,Pizza Hut,"Los Angeles, Ca",2024-01-19 19:15:00,2024-01-19 19:40:00,25,XL,Cheese Burst,4.0,High,UPI,True,False,January,Online,9.6,15.4,False,3,19,29.94845360824742,42,17,19,Friday,January,2024-01-19,2–5 km
ORD020,Marco's Pizza,"Chicago, Il",2024-01-20 13:30:00,2024-01-20 13:50:00,20,Medium,Non-Veg,3.0,Low,Cash,False,True,January,Offline,7.199999999999999,12.8,False,1,13,30.28645833333333,45,12,13,Saturday,January,2024-01-20,2–5 km
ORD021,Domino's,"Miami, Fl",2024-01-21 18:45:00,2024-01-21 19:10:00,25,Large,Veg,4.5,Medium,Wallet,True,True,January,Online,10.8,14.2,False,2,18,30.25943396226415,49,13,18,Sunday,January,2024-01-21,2–5 km
ORD022,Papa John's,"Dallas, Tx",2024-01-22 20:00:00,2024-01-22 20:25:00,25,Small,Vegan,2.0,High,Card,True,False,January,Online,4.8,20.2,False,3,20,28.18627450980392,50,10,20,Monday,January,2024-01-22,0–2 km
ORD023,Little Caesars,"Houston, Tx",2024-01-23 19:30:00,2024-01-23 19:50:00,20,Medium,Non-Veg,3.5,Low,UPI,True,False,January,Online,8.4,11.6,False,1,19,28.84422110552764,27,12,19,Tuesday,January,2024-01-23,2–5 km
ORD024,Pizza Hut,"Phoenix, Az",2024-01-24 18:15:00,2024-01-24 18:40:00,25,XL,Cheese Burst,4.0,Medium,Cash,True,False,January,Offline,9.6,15.4,False,2,18,29.94845360824742,35,17,18,Wednesday,January,2024-01-24,2–5 km
ORD025,Marco's Pizza,"Atlanta, Ga",2024-01-25 14:30:00,2024-01-25 14:50:00,20,Medium,Non-Veg,3.0,High,Wallet,False,False,January,Online,7.199999999999999,12.8,False,3,14,30.28645833333333,78,12,14,Thursday,January,2024-01-25,2–5 km
ORD026,Domino's,"Seattle, Wa",2024-01-26 20:00:00,2024-01-26 20:25:00,25,Large,Veg,4.5,Low,Card,True,False,January,Online,10.8,14.2,False,1,20,30.25943396226415,37,13,20,Friday,January,2024-01-26,2–5 km
ORD027,Papa John's,"Denver, Co",2024-01-27 19:15:00,2024-01-27 19:40:00,25,Small,Vegan,2.0,Medium,UPI,True,True,January,Online,4.8,20.2,False,2,19,28.18627450980392,46,10,19,Saturday,January,2024-01-27,0–2 km
ORD028,Little Caesars,"Boston, Ma",2024-01-28 18:30:00,2024-01-28 18:50:00,20,Medium,Non-Veg,3.5,High,Cash,True,True,January,Offline,8.4,11.6,False,3,18,28.84422110552764,51,12,18,Sunday,January,2024-01-28,2–5 km
ORD029,Pizza Hut,"Chicago, Il",2024-01-29 20:00:00,2024-01-29 20:25:00,25,XL,Cheese Burst,4.0,Low,Wallet,True,False,January,Online,9.6,15.4,False,1,20,29.94845360824742,45,17,20,Monday,January,2024-01-29,2–5 km
ORD030,Marco's Pizza,"Miami, Fl",2024-01-30 13:15:00,2024-01-30 13:35:00,20,Medium,Non-Veg,3.0,Medium,Card,False,False,January,Online,7.199999999999999,12.8,False,2,13,30.28645833333333,49,12,13,Tuesday,January,2024-01-30,2–5 km
ORD031,Domino's,"Los Angeles, Ca",2024-02-01 19:45:00,2024-02-01 20:10:00,25,Large,Veg,4.5,High,UPI,True,False,February,Online,10.8,14.2,False,3,19,30.25943396226415,42,13,19,Thursday,February,2024-02-01,2–5 km
ORD032,Papa John's,"Phoenix, Az",2024-02-02 18:00:00,2024-02-02 18:25:00,25,Small,Vegan,2.0,Low,Cash,True,False,February,Offline,4.8,20.2,False,1,18,28.18627450980392,35,10,18,Friday,February,2024-02-02,0–2 km
ORD033,Little Caesars,"Atlanta, Ga",2024-02-03 20:30:00,2024-02-03 20:55:00,25,Medium,Non-Veg,3.5,Medium,Wallet,True,True,February,Online,8.4,16.6,False,2,20,28.84422110552764,78,12,20,Saturday,February,2024-02-03,2–5 km
ORD034,Pizza Hut,"Dallas, Tx",2024-02-04 14:15:00,2024-02-04 14:35:00,20,XL,Cheese Burst,4.0,High,Card,False,True,February,Online,9.6,10.4,False,3,14,29.94845360824742,50,17,14,Sunday,February,2024-02-04,2–5 km
ORD035,Marco's Pizza,"Seattle, Wa",2024-02-05 19:00:00,2024-02-05 19:25:00,25,Medium,Non-Veg,3.0,Low,UPI,True,False,February,Online,7.199999999999999,17.8,False,1,19,30.28645833333333,37,12,19,Monday,February,2024-02-05,2–5 km
ORD036,Domino's,"Houston, Tx",2024-02-06 18:45:00,2024-02-06 19:10:00,25,Large,Veg,4.5,Medium,Card,True,False,February,Online,10.8,14.2,False,2,18,30.25943396226415,27,13,18,Tuesday,February,2024-02-06,2–5 km
ORD037,Papa John's,"Phoenix, Az",2024-02-07 20:00:00,2024-02-07 20:25:00,25,Medium,Non-Veg,3.0,High,UPI,True,False,February,Online,7.199999999999999,17.8,False,3,20,28.18627450980392,35,12,20,Wednesday,February,2024-02-07,2–5 km
ORD038,Little Caesars,"Atlanta, Ga",2024-02-08 19:30:00,2024-02-08 19:50:00,20,Small,Vegan,2.5,Low,Cash,True,False,February,Offline,6.0,14.0,False,1,19,28.84422110552764,78,10,19,Thursday,February,2024-02-08,2–5 km
ORD039,Pizza Hut,"Dallas, Tx",2024-02-09 18:15:00,2024-02-09 18:40:00,25,XL,Cheese Burst,4.0,Medium,Wallet,True,False,February,Online,9.6,15.4,False,2,18,29.94845360824742,50,17,18,Friday,February,2024-02-09,2–5 km
ORD040,Marco's Pizza,"Seattle, Wa",2024-02-10 14:30:00,2024-02-10 14:50:00,20,Medium,Non-Veg,3.5,High,Card,False,True,February,Online,8.4,11.6,False,3,14,30.28645833333333,37,12,14,Saturday,February,2024-02-10,2–5 km
ORD041,Domino's,"Denver, Co",2024-02-11 19:00:00,2024-02-11 19:20:00,20,Large,Veg,4.0,Low,UPI,True,True,February,Online,9.6,10.4,False,1,19,30.25943396226415,46,13,19,Sunday,February,2024-02-11,2–5 km
ORD042,Papa John's,"Boston, Ma",2024-02-12 20:15:00,2024-02-12 20:40:00,25,Small,Vegan,2.0,Medium,Cash,True,False,February,Offline,4.8,20.2,False,2,20,28.18627450980392,51,10,20,Monday,February,2024-02-12,0–2 km
ORD043,Little Caesars,"Dallas, Tx",2024-02-13 18:30:00,2024-02-13 18:50:00,20,Medium,Non-Veg,3.0,High,Wallet,True,False,February,Online,7.199999999999999,12.8,False,3,18,28.84422110552764,50,12,18,Tuesday,February,2024-02-13,2–5 km
ORD044,Pizza Hut,"Los Angeles, Ca",2024-02-14 19:45:00,2024-02-14 20:10:00,25,XL,Cheese Burst,5.0,Low,Card,True,False,February,Online,12.0,13.0,False,1,19,29.94845360824742,42,17,19,Wednesday,February,2024-02-14,2–5 km
ORD045,Marco's Pizza,"Chicago, Il",2024-02-15 13:00:00,2024-02-15 13:20:00,20,Medium,Non-Veg,3.5,Medium,UPI,False,False,February,Online,8.4,11.6,False,2,13,30.28645833333333,45,12,13,Thursday,February,2024-02-15,2–5 km
ORD046,Domino's,"Miami, Fl",2024-02-16 18:30:00,2024-02-16 18:50:00,20,Large,Veg,4.0,High,Cash,True,False,February,Offline,9.6,10.4,False,3,18,30.25943396226415,49,13,18,Friday,February,2024-02-16,2–5 km
